,link,detail
62,https://www.linkedin.com/jobs/view/data-scientist-global-decision-science-at-american-express-3380070410?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=K7YbQP4zTFDfRVlPnbzqCQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"American Express hiring Data Scientist - Global Decision Science in New York, New York, United States | LinkedIn"
63,https://www.linkedin.com/jobs/view/data-scientist-at-cinemark-3382811471?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=7VWhzcPU0oO4CoEtj2%2F4lQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Cinemark hiring Data Scientist in Plano, Texas, United States | LinkedIn"
64,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384155765?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=%2FfmUSZ4ACuIa7m4ooY%2Be1A%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"Grammarly hiring Data Scientist in New York, United States | LinkedIn"
65,https://www.linkedin.com/jobs/view/data-scientist-at-lockheed-martin-3376703689?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=vy7F%2FXSE2%2BcSSLrW8jb%2Ftw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,"Lockheed Martin hiring Data Scientist in New Mexico, United States | LinkedIn"
66,https://www.linkedin.com/jobs/view/data-scientist-at-uber-3380128037?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=KusxLQo2UtAZf8oclOcPNQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring Data Scientist in San Francisco, California, United States | LinkedIn"
67,https://www.linkedin.com/jobs/view/data-scientist-at-atrium-3390226105?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=w9lnu9cHdaeP4nF%2BQACi4A%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Atrium hiring Data Scientist in United States | LinkedIn
68,https://www.linkedin.com/jobs/view/data-scientist-at-uber-3380716832?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=EWs9rIlbo4sA%2F2ahOkpKYQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring Data Scientist in Sunnyvale, California, United States | LinkedIn"
69,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384157495?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=Opu3SaAfsGLs8bk0lrpw9w%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"Grammarly hiring Data Scientist in New Jersey, United States | LinkedIn"
70,https://www.linkedin.com/jobs/view/data-scientist-engineer-at-life-science-people-3366302011?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=a8H9imK90wd5%2FXpEvOUXrw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Life Science People hiring Data Scientist/ Engineer in United States | LinkedIn
71,https://www.linkedin.com/jobs/view/data-scientist-at-hackajob-3389814866?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=YnAFI8nHqQ3zRE7u3jFkfA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,hackajob hiring Data Scientist in New York City Metropolitan Area | LinkedIn
72,https://www.linkedin.com/jobs/view/data-scientist-at-brillio-3374529660?refId=AUi%2FxQKdHOith6pSdx77KA%3D%3D&trackingId=%2BKm%2FKudWzXZuBCi26Wb%2BoQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"Brillio hiring Data Scientist in Tampa, Florida, United States | LinkedIn"
